branch,day,awareness,purchase_probability,brand_trust_probability,complaint_probability,churn_probability,recommend_probability,snapshot_hash
price_up_30,6,0.6870401755671025,0.49791912807060396,0.5458026112882394,0.18702901793685517,0.2057245009847498,0.4104614782176233,a1be4e10c74396937980cd0dc144ec1fb9bdce6dc1012e9e44e199c75207e496
price_up_30,7,0.7340779090171751,0.49770113645955516,0.5456572835475401,0.1994142534732656,0.21980911059314634,0.4104614782176233,f8862ca55eae7ce166c6e32ea1b46777bba557cf082f2e95eea3d3164f63dd66
price_up_30,8,0.7751867826549365,0.4974855696406249,0.5455135723349199,0.21013200613739053,0.23211741183162826,0.4104614782176233,fd464e59ed5e30a07cc01e1e000717bca6298ab004b1a661f6a06f3e25dd75a3
price_up_30,9,0.8107741340303765,0.4972755011547263,0.545373526677654,0.21930923132194188,0.24277152402710575,0.4104614782176233,fff368ab538c73160d8b1dee0134dcbcedf7ce3d47bededb47f214a6e3370856
price_up_30,10,0.8413280710879618,0.4970732988851073,0.5452387251645748,0.22709374965358525,0.25191778983380847,0.4104614782176233,2c5cc604ed21adbc8dd76171409459fbe2831334e21c4fc6f0806eb3eca4ddba
price_up_30,11,0.8673748173297859,0.4968805775660353,0.5451102442851935,0.23364184020718007,0.25971397376564703,0.4104614782176233,3e5366ada6b5c47bfb2e529946d1f38710216f174fe053683f62aea66ffcaba1
price_up_30,12,0.8894453285842986,0.49669829635631685,0.5449887234787145,0.23910877286529425,0.26631924563085224,0.4104614782176233,b41976000f7b2a38c5fcfa5e6608ec9700806c9684221334201927ef88d92130
price_up_30,13,0.9080512975627646,0.4965269285464529,0.5448744782721386,0.2436422186451163,0.2718869832216849,0.4104614782176233,2cc310e380e5a3a13753115c01c89dab09d09adb49c6963fc875649f9f027954
price_up_30,14,0.9236695196318123,0.49636649595907056,0.5447675232138838,0.2473781528981391,0.2765600853211294,0.4104614782176233,f6b5f9717517f6f079a7e00a0154305b6b7b3d8f7ef86a99c13e52ad5c3542c8
price_up_30_discount,0,0.28,0.5488553996452384,0.5731813045153583,0.07538842336242572,0.07739383563553144,0.46044128039715787,35ee63e6db62f36d4e4dd05319751a561c63b9a895a03d40ef2b2d0c5d7fc15e
price_up_30_discount,1,0.3602058126489906,0.5487292074312966,0.5730971763727305,0.09688548358545986,0.09956963094522359,0.46044128039715787,2beb3d7bda55741fede1a05118cdd3511a5702f75b87d1dfe8d03bae3e736666
price_up_30_discount,2,0.43628487865808263,0.5485743218007454,0.5729939192856963,0.11719618757133171,0.12060517239471033,0.46044128039715787,4bddf8a25fff736f9aa3d94b289e4f29e1df1652fae22fcb68abf4ed565201cb
price_up_30_discount,3,0.5073146511329972,0.548396226784355,0.5728751892747694,0.1360653253946831,0.1402448263305998,0.46044128039715787,45e957dda6bce20d42562831c8c7276918d54e16ae54a1b2bf734eb57b9bf703
price_up_30_discount,4,0.5726354928305375,0.5482007699937241,0.5727448847476821,0.1533151423084969,0.1583057599875825,0.46044128039715787,76e40b431e785cd07b9510301f7c5192782522ce0e8101b9495dbd00c521e356
price_up_30_discount,5,0.6318620330137438,0.5479937240855265,0.5726068541422171,0.1688477245188046,0.17468111099694283,0.46044128039715787,16a517378fd05aea68805877ccf8124520fa7c333cc1ad5d0179af589599ed76
price_up_30_discount,6,0.6848677640217671,0.5477804360100085,0.5724646620918717,0.18263952001525524,0.1893357326722461,0.46044128039715787,f8604161ff7c9898cb53fc5fc8a68de5353a60381f03a8eb140dba7ea4702401
price_up_30_discount,7,0.7317495260784062,0.5475656337254133,0.5723214605688083,0.19473009703940133,0.20229635808955204,0.46044128039715787,b0f72afc79f1f4504d3ae77c0bb852596f85c23177a0950053bfaeb82feafc23
price_up_30_discount,8,0.7727803566798407,0.5473532012866222,0.5721798389429475,0.20520774858934845,0.2136385345160644,0.46044128039715787,9354565fb0ca637c014af34dc7dd9c7129ad66ccd961f044fc5238d4e8c6bea8
price_up_30_discount,9,0.8083588628521876,0.5471461473131177,0.5720418029606112,0.214194396522147,0.22347259210085244,0.46044128039715787,53f230b9e6b56dbd460475c21eaeecd9d7f79573bc56a89188a3fbf9d79db920
price_up_30_discount,10,0.8389615048456149,0.5469467952515639,0.571908901586242,0.22183166122537612,0.23193041967530098,0.46044128039715787,2dd7464692e878eedd00130189a31be127ec10d6d702177cd5124e014632e4a8
price_up_30_discount,11,0.8651018299571865,0.5467567328032995,0.571782193287399,0.22826922028931235,0.23915416819075003,0.46044128039715787,f4670787172880139fde6bd97e050658fdaef03aef6be1b8f5018a4e90ab0e21
price_up_30_discount,12,0.8872984725381604,0.5465769110932062,0.5716623121473368,0.23365590066153286,0.24528738533357658,0.46044128039715787,7e2f885690a90cbf7bb034c9aafa815e4d61aa39cce4cd2a3267ee4feabac2fc
price_up_30_discount,13,0.9060520380733665,0.5464077990936148,0.5715495708142762,0.2381334490371441,0.2504686135710441,0.46044128039715787,646592d30e6c87d6809eac3ec5ea7cc76fb298a3433910757ab8d1f73731b94f
price_up_30_discount,14,0.9218299241833754,0.5462494277568118,0.5714439899230741,0.24183262847057882,0.25482718844649327,0.46044128039715787,78cafbdc4945df5708862ec929ab74c9886971db85d0c7f9cbd3fea87fe41a07
