branch_id,candidate_id,day,first_occurrence_probability,cumulative_probability
early_response,reputation_escalation,24,0.00927734375,0.2998046875
early_response,reputation_escalation,25,0.0078125,0.3076171875
early_response,reputation_escalation,26,0.00634765625,0.31396484375
early_response,reputation_escalation,27,0.0078125,0.32177734375
early_response,reputation_escalation,28,0.00634765625,0.328125
early_response,reputation_escalation,29,0.00927734375,0.33740234375
early_response,reputation_escalation,30,0.00390625,0.34130859375
early_response,reputation_escalation,31,0.0,0.34130859375
early_response,reputation_escalation,32,0.0,0.34130859375
early_response,reputation_escalation,33,0.0,0.34130859375
early_response,reputation_escalation,34,0.0,0.34130859375
early_response,reputation_escalation,35,0.0,0.34130859375
early_response,reputation_escalation,36,0.0,0.34130859375
early_response,reputation_escalation,37,0.0,0.34130859375
early_response,reputation_escalation,38,0.0,0.34130859375
early_response,reputation_escalation,39,0.0,0.34130859375
early_response,reputation_escalation,40,0.0,0.34130859375
early_response,reputation_escalation,41,0.0,0.34130859375
early_response,reputation_escalation,42,0.0,0.34130859375
early_response,reputation_escalation,43,0.0,0.34130859375
early_response,reputation_escalation,44,0.0,0.34130859375
early_response,reputation_escalation,45,0.0,0.34130859375
early_response,policy_support,1,0.0,0.0
early_response,policy_support,2,0.0,0.0
early_response,policy_support,3,0.0166015625,0.0166015625
early_response,policy_support,4,0.01611328125,0.03271484375
early_response,policy_support,5,0.015625,0.04833984375
early_response,policy_support,6,0.013671875,0.06201171875
early_response,policy_support,7,0.009765625,0.07177734375
early_response,policy_support,8,0.015625,0.08740234375
early_response,policy_support,9,0.01416015625,0.1015625
early_response,policy_support,10,0.01904296875,0.12060546875
early_response,policy_support,11,0.01708984375,0.1376953125
early_response,policy_support,12,0.01318359375,0.15087890625
early_response,policy_support,13,0.01025390625,0.1611328125
early_response,policy_support,14,0.0146484375,0.17578125
early_response,policy_support,15,0.01611328125,0.19189453125
early_response,policy_support,16,0.01318359375,0.205078125
early_response,policy_support,17,0.01416015625,0.21923828125
early_response,policy_support,18,0.0166015625,0.23583984375
early_response,policy_support,19,0.015625,0.25146484375
early_response,policy_support,20,0.017578125,0.26904296875
early_response,policy_support,21,0.0146484375,0.28369140625
early_response,policy_support,22,0.0166015625,0.30029296875
early_response,policy_support,23,0.0166015625,0.31689453125
early_response,policy_support,24,0.01708984375,0.333984375
early_response,policy_support,25,0.013671875,0.34765625
early_response,policy_support,26,0.015625,0.36328125
early_response,policy_support,27,0.01220703125,0.37548828125
early_response,policy_support,28,0.01025390625,0.3857421875
early_response,policy_support,29,0.01025390625,0.39599609375
early_response,policy_support,30,0.013671875,0.40966796875
early_response,policy_support,31,0.00927734375,0.4189453125
early_response,policy_support,32,0.01220703125,0.43115234375
early_response,policy_support,33,0.0126953125,0.44384765625
early_response,policy_support,34,0.01171875,0.45556640625
early_response,policy_support,35,0.0126953125,0.46826171875
early_response,policy_support,36,0.00927734375,0.4775390625
early_response,policy_support,37,0.0087890625,0.486328125
early_response,policy_support,38,0.0078125,0.494140625
early_response,policy_support,39,0.0087890625,0.5029296875
early_response,policy_support,40,0.0126953125,0.515625
early_response,policy_support,41,0.00927734375,0.52490234375
early_response,policy_support,42,0.01123046875,0.5361328125
early_response,policy_support,43,0.01025390625,0.54638671875
early_response,policy_support,44,0.0078125,0.55419921875
early_response,policy_support,45,0.0087890625,0.56298828125
